
batch1,13-12-2019,8:30,23:30
batch2,13-12-2019,9:30,21:30
batch3,13-12-2019,11:30,21:30
batch1,14-12-2019,8:30,21:30
batch2,14-12-2019,9:30,20:30
batch3,14-12-2019,11:30,22:30
batch1,15-12-2019,8:30,19:30
batch2,15-12-2019,9:30,17:30
batch3,15-12-2019,11:30,22:30
batch1,16-12-2019,8:30,23:30
batch2,16-12-2019,9:30,18:30
batch3,16-12-2019,11:30,17:30
batch1,17-12-2019,8:30,12:30
batch2,17-12-2019,9:30,11:30
batch3,17-12-2019,11:30,20:30
batch1,18-12-2019,8:30,21:30
batch2,18-12-2019,9:30,19:30
batch3,18-12-2019,11:30,21:30
batch1,19-12-2019,8:30,23:30
batch2,19-12-2019,9:30,20:30
batch3,19-12-2019,11:30,18:30
batch1,20-12-2019,8:30,21:30
batch2,20-12-2019,9:30,20:30
batch3,20-12-2019,11:30,11:30
batch1,21-12-2019,8:30,21:30
batch2,21-12-2019,9:30,20:30
batch3,21-12-2019,11:30,21:30
batch1,22-12-2019,8:30,23:30
batch2,22-12-2019,9:30,21:30
batch3,22-12-2019,11:30,19:30
batch1,23-12-2019,8:30,18:30
batch2,23-12-2019,9:30,20:30
batch3,23-12-2019,11:30,21:30
batch1,24-12-2019,8:30,23:30
batch2,24-12-2019,9:30,20:30
batch3,24-12-2019,11:30,16:30
